seed,structuredStateId,randomPositionStateId,elementCount,structuredTotal,randomPositionTotal,delta,hierarchy_weightedDelta,grouping_weightedDelta,structure_weightedDelta,flow_weightedDelta,spatial_weightedDelta,harmony_weightedDelta
241,f825cee2,533734ad,9,68.541,69.0419,-0.5009,-4.3411,-2.3276,7.1111,-1.6875,0.7442,0
273,c3cf4a49,ec013149,8,64.1305,66.5595,-2.4291,-3.8856,-4.4038,5.3333,-0.6429,1.1698,0
287,eb268fe4,19f51da5,9,63.8978,69.2217,-5.3239,-9.5284,1.0987,6.163,-3.9375,0.8803,0
296,050db810,a5a60ce9,11,70.1195,71.3552,-1.2358,-4.9975,-0.8087,5.8182,-1.65,0.4022,0
324,729f1814,eb07a9f2,8,68.9726,70.0261,-1.0535,-4.7706,-0.9424,5.3333,0,-0.6738,0
326,276ff1c6,b2c443b7,9,68.9512,70.8359,-1.8847,-4.5667,0.2569,5.6889,-2.625,-0.6388,0
344,9897b1a6,ed167e42,7,58.7748,59.6384,-0.8636,-3.7898,-0.574,5.4857,-1,-0.9855,0
357,afd6bd95,5b33aacf,12,62.1508,63.7774,-1.6266,-4.9897,-0.7631,5.6889,-1.3636,-0.199,0
360,bf50f077,bd22732a,13,71.2189,71.9668,-0.7479,-4.6009,-1.7136,5.5795,-0.75,0.7371,0
361,e2b72a7a,f493f1a6,12,68.8883,70.8997,-2.0114,-3.9902,-1.5446,4.9778,-2.3182,0.8638,0
390,1033ca68,c1a69d9d,8,69.6276,70.1605,-0.5329,-4.5898,-1.8845,7.4667,-2.3571,0.8319,0
416,acf9066e,e554ba32,10,64.6493,65.5895,-0.9403,-4.7563,-1.2058,5.9733,-1.3333,0.3819,0
422,dacb31a6,2130ccf6,8,61.898,61.9724,-0.0744,-4.439,-1.3382,8,-2.1429,-0.1543,0
458,55f74add,4a0e46ed,10,70.8568,71.3989,-0.542,-4.1467,-0.8228,4.6933,-0.1667,-0.0992,0
476,c04a9ee1,474bd48d,12,71.1363,72.4962,-1.3599,-5.396,-1.8285,6.4,-0.5455,0.01,0
492,0860eb73,6d2d8393,11,71.2521,71.5968,-0.3447,-4.2422,-0.1569,5.0424,-1.05,0.062,0
506,be382ea8,ffc93169,13,62.6078,64.3463,-1.7385,-4.6728,-2.4976,6.2359,-1.125,0.321,0
514,90cce7e1,7c7d0fb8,9,67.8287,67.8419,-0.0131,-3.9893,-1.4597,6.637,-1.125,-0.0761,0
569,aeaed802,aaf8ea07,9,67.1082,67.396,-0.2878,-4.7814,-4.2191,7.1111,0.5625,1.0391,0
577,6756f223,5017f735,9,65.6837,65.9891,-0.3054,-0.2047,-2.8402,6.163,-3.5625,0.139,0
587,37a176b9,f841f1a2,13,66.2132,69.6002,-3.387,-9.1216,-1.0453,7.5487,-1,0.2311,0
597,20100e91,1c0588c6,8,59.8488,61.3947,-1.5459,-4.8795,-0.7206,5.8667,-1.5,-0.3124,0
606,ced8c1b6,9aee090b,11,68.094,68.6524,-0.5584,-5.015,-1.733,6.2061,0,-0.0165,0
609,7f6a0cbb,cdc94550,10,69.3166,71.6371,-2.3205,-5.2029,-1.5904,6.4,-1.8333,-0.0939,0
613,f09dfb50,ea520261,9,64.7994,70.9235,-6.1241,-5.9042,-4.7501,5.6889,-1.3125,0.1539,0
624,d8642089,eafb866a,13,74.0627,75.0024,-0.9397,-5.3208,-0.3016,5.2513,-0.875,0.3064,0
627,ccb23edd,ec3e7ac6,9,62.2041,63.4083,-1.2042,-4.2798,-1.1897,4.2667,-0.5625,0.5611,0
631,5ae84e57,02d772be,9,67.5968,67.8432,-0.2464,-5.0372,-2.199,6.163,0,0.8269,0
642,9c540d27,d4b7aeed,13,61.4069,62.3375,-0.9305,-4.5052,-1.6383,5.5795,-1,0.6335,0
647,43f500db,cd944096,7,61.2162,61.8717,-0.6555,-5.2423,-2.5823,6.0952,0.75,0.3238,0
666,bdab2565,32d3e66f,7,61.6521,62.2227,-0.5706,-4.7716,-1.7831,5.4857,0,0.4983,0
679,9fa72538,02e1743a,8,68.3186,71.9927,-3.6742,-4.9016,-4.0407,4.8,-0.2143,0.6824,0
685,9b513e29,eb3fcc45,11,72.4388,72.7029,-0.2641,-3.599,-3.2282,5.0424,0,1.5207,0
686,e73434e7,452415a5,7,60.8357,62.5351,-1.6994,-4.5877,-1.6807,4.8762,-0.25,-0.0571,0
698,84d13bfc,9edfc8ac,11,71.7007,74.5881,-2.8874,-4.192,-5.5993,5.4303,1.05,0.4236,0
708,6d641c25,8473ac47,10,72.0596,72.2711,-0.2114,-5.2857,0.4947,5.12,-0.8333,0.2929,0
734,8efc886b,0d20243b,10,69.57,71.2888,-1.7188,-4.9479,-0.099,6.4,-3.3333,0.2615,0
759,76ee8c95,9015cfac,9,66.2584,66.8404,-0.582,-5.4254,0.3187,5.6889,-1.125,-0.0392,0
766,3fadfa72,793faf97,9,62.0806,62.3121,-0.2315,-4.1566,-0.1466,6.163,-2.625,0.5337,0
772,506b095d,b98802b7,8,65.6114,66.2664,-0.6549,-5.125,-0.1952,6.4,-2.1429,0.4082,0
795,513dc67a,9a7c8012,10,63.7827,64.3179,-0.5352,-5.1265,-0.1554,5.12,0,-0.3732,0
796,1cb431d8,7cfcee5a,7,59.8688,61.2391,-1.3703,-5.5484,0.577,4.8762,-2,0.725,0
811,6c6e5a30,0d487c3b,6,61.4562,64.2351,-2.7788,-4.5946,-2.0607,5.6889,-2.4,0.5875,0
821,ec13ff06,6f481b6c,10,63.1184,63.6488,-0.5304,-4.4467,-0.1225,5.12,-1.6667,0.5855,0
848,2aea3b9b,85dc3e13,7,68.431,69.7904,-1.3594,-5.1112,-1.5397,5.4857,-0.25,0.0557,0
858,4bfb4470,3ea68728,6,64.0868,65.7015,-1.6147,-4.5762,-4.9138,5.6889,2.1,0.0864,0
859,150e24b2,5f5ec1d7,12,70.7273,72.8269,-2.0997,-5.4121,-1.0657,4.9778,-0.9545,0.355,0
860,e3b516d5,2aedebd1,9,61.8883,63.2698,-1.3815,-4.9728,-2.8215,6.163,-1.125,1.3748,0
876,5b2c123b,40af9b50,7,70.6993,70.8758,-0.1765,-4.393,-2.9485,6.0952,0.75,0.3197,0
892,08cd6c02,8179e6f9,9,69.6046,70.4921,-0.8875,-4.7797,-1.1146,6.163,-1.3125,0.1564,0
894,25744e05,eb9f5183,9,61.3779,66.6843,-5.3064,-5.1191,-4.5923,5.6889,-1.5,0.2162,0
896,24593a25,cfc1c4bf,4,60.6866,70.6038,-9.9172,-4.4801,-6.8822,5.3333,-3.5,-0.3883,0
903,a8b225b7,c0a16574,7,61.127,62.2794,-1.1524,-4.8853,-2.4096,6.0952,0,0.0473,0
909,ed4b4ff8,1db414bd,6,64.3011,64.6481,-0.3469,-4.5745,-0.341,4.9778,0,-0.4093,0
914,4261fb7d,92d857f4,7,70.5486,72.297,-1.7484,-4.9844,1.1192,4.8762,-3.25,0.4906,0
934,8d594c29,49f79798,8,63.3789,64.7987,-1.4198,-5.0532,0.6972,4.8,-1.7143,-0.1495,0
947,bf643e59,1b85fd85,8,62.9034,66.2874,-3.384,-5.3432,-5.604,6.9333,0.8571,-0.2273,0
949,7d297c36,ae31b34d,10,73.7564,73.942,-0.1856,-5.6005,-2.3365,5.9733,1.8333,-0.0552,0
960,d33c549e,594bdfe3,7,67.5492,69.4121,-1.8628,-4.1203,-1.3104,5.4857,-2,0.0821,0
965,03feede9,76f3fe76,6,60.3694,63.3772,-3.0078,-3.8438,-2.5097,5.6889,-2.1,-0.2432,0
972,aa1633f1,5a239622,10,64.0006,69.2472,-5.2466,-5.1515,-5.2753,5.12,-1,1.0602,0
973,047d0c1c,0bc96b02,8,68.1429,68.1954,-0.0525,-4.8767,-0.0051,6.4,-1.5,-0.0708,0
980,3468a82b,e978aa37,8,67.3916,69.5905,-2.1989,-4.3515,-2.322,5.8667,-1.5,0.108,0
981,be40c60b,8e57ba5c,10,63.1653,63.1842,-0.0189,-5.1758,-0.565,6.4,-1.1667,0.4885,0
984,95f0e1ff,74957c33,11,63.2218,63.5746,-0.3528,-4.8957,-1.279,5.4303,0.15,0.2416,0
985,f49774a3,aa205e1b,11,71.3544,72.7316,-1.3771,-4.6148,-2.4555,6.5939,-0.6,-0.3008,0
993,452076f2,ad97e29d,8,62.7942,63.7465,-0.9523,-4.4055,-1.4066,5.8667,-1.2857,0.2789,0
1011,d5b44ea2,9667c86c,7,55.4446,58.3994,-2.9548,-5.2242,-2.6379,5.4857,-1.5,0.9216,0
1013,1be287a1,1cc0a646,8,64.3624,65.6794,-1.317,-5.139,-1.4233,4.8,0.4286,0.0167,0
1029,ee105613,bc6e22c8,7,68.6317,69.0793,-0.4475,-5.1861,1.1839,4.8762,-2,0.6784,0
1066,d61a0165,8d960719,6,65.6742,71.0881,-5.4138,-9.0453,-0.5171,5.6889,-1.2,-0.3403,0
1074,af31847c,cb505385,9,64.9506,66.5173,-1.5668,-5.4574,-0.6932,5.6889,-1.125,0.02,0
1093,8d2d58be,3ab98cb8,9,71.6136,72.1029,-0.4893,-4.6584,-0.7606,6.637,-1.3125,-0.3949,0
1097,eeb7270b,fb4458d6,8,67.4522,68.7806,-1.3284,-4.3738,-4.1365,6.9333,-0.6429,0.8914,0
1106,f31f4857,394eb094,11,68.4066,69.0069,-0.6003,-5.7146,1.2809,5.0424,-1.95,0.741,0
1107,a3b12ba1,9565e93b,8,60.3373,61.3107,-0.9734,-4.5067,-1.2884,5.3333,-0.4286,-0.0832,0
1126,ba4bb58a,be77e694,13,64.6078,66.7699,-2.1621,-10.0875,0.2563,6.2359,0.375,1.0582,0
1133,db661261,72fa24bf,11,68.8821,70.1235,-1.2414,-6.0218,-0.7837,5.4303,0,0.1337,0
1135,cb9ae9cc,f35147b9,8,58.9456,60.6226,-1.6771,-4.6924,-0.0499,6.9333,-3.8571,-0.011,0
1154,b7128c62,3af4e6b2,6,69.0629,73.885,-4.8222,-4.406,-3.1942,4.2667,-1.8,0.3114,0
1161,396dff61,f8c9c9e6,11,64.4729,65.4354,-0.9626,-3.8196,-3.1306,5.8182,-0.45,0.6195,0
1163,79b013c4,a36a3213,11,68.7631,71.3138,-2.5507,-4.3473,-2.5314,5.8182,-1.5,0.0099,0
1189,0b8ab998,2f29e0bc,8,69.4018,70.6654,-1.2636,-4.8134,-1.0748,5.3333,-1.5,0.7913,0
1193,32a6aad3,4df225b6,11,71.6156,72.9693,-1.3537,-3.6447,-4.848,6.2061,1.35,-0.4172,0
1206,f1d841a0,170bd5af,10,60.4092,60.852,-0.4428,-4.8838,-1.8552,6.4,-0.6667,0.5629,0
1208,798aac45,b0e14879,11,69.0942,69.4301,-0.336,-4.8515,-1.2006,6.9818,-1.05,-0.2157,0
1212,b25a2166,b364faf8,11,62.5766,63.8652,-1.2886,-5.0942,-1.4421,5.8182,-0.45,-0.1205,0
1218,f78d4c5f,b134eb48,7,67.938,67.9971,-0.059,-5.0944,-1.1616,4.8762,0.75,0.5708,0
1224,057998d4,5907dcc6,7,67.6205,67.8593,-0.2387,-5.341,-2.2769,6.7048,0,0.6744,0
1237,d041ff64,6654ce60,9,66.2751,67.8584,-1.5833,-9.5514,-1.5879,6.637,1.6875,1.2315,0
1245,a56642ee,ac5f2c2f,11,70.659,70.9018,-0.2428,-5.3885,-0.2772,5.8182,-0.6,0.2047,0
1272,b962b946,b0b34124,10,69.864,70.1437,-0.2796,-5.372,0.08,5.12,0,-0.1077,0
1279,a128e8ca,bc2ffbf1,10,69.8354,70.8595,-1.024,-5.0883,-1.0729,5.5467,-0.5,0.0905,0
1291,55de26c1,0a1da964,10,71.6675,72.106,-0.4385,-5.4791,0.1747,5.12,-0.6667,0.4126,0
1302,5115e5c1,d5aa385e,11,66.5174,67.6452,-1.1278,-9.4956,-0.126,6.9818,1.5,0.012,0
1306,8bffdcce,95e3581b,12,62.8619,63.5864,-0.7245,-4.1559,-1.1831,6.0444,-1.5,0.0701,0
1307,893fc556,e0adb57b,15,69.7016,72.086,-2.3844,-4.7416,-1.7693,6.2578,-2.0357,-0.0955,0
1317,05b5cd54,27e22992,10,66.2404,66.2595,-0.0191,-4.7486,-1.3483,6.8267,-1.1667,0.4177,0
1321,5809a97d,92f1da46,9,64.1447,66.3915,-2.2468,-4.667,-2.6831,5.2148,-1.125,1.0136,0
1322,e38dbcba,75f2f757,11,63.1831,63.6999,-0.5169,-5.3371,-1.0149,5.8182,0.3,-0.283,0
1325,f2fc9292,cb1659a4,10,61.6465,62.5263,-0.8798,-4.2527,-1.4154,5.9733,-1,-0.185,0
1329,95afd097,12a31df5,8,59.4766,64.6803,-5.2037,-4.9965,-8.089,8,-0.8571,0.739,0
